Title,Directed by,Starring,Lead,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
Clifford's Really Big Movie,Robert Ramirez,"['John Ritter', 'Wayne Brady', 'Kel Mitchell', 'Cree Summer', 'Judge Reinhold', 'Jenna Elfman', 'Wilmer Valderrama', 'Jess Harnell', 'John Goodman', 'Kath Soucie', 'Grey DeLisle']",John Ritter,2004-02-20,2.0,76.0,United States,English,70000.0,3300000.0,662152.0,G
Starsky & Hutch,Todd Phillips,"['Ben Stiller', 'Owen Wilson', 'Vince Vaughn', 'Juliette Lewis', 'Snoop Dogg']",Ben Stiller,2004-03-05,3.0,101.0,United States,English,60000000.0,170000000.0,28103367.0,PG-13
Spartan,David Mamet,"['Val Kilmer', 'Derek Luke', 'William H. Macy', ""Ed O'Neill""]",Val Kilmer,2004-01-31,1.0,106.0,,English,23000000.0,8109999.999999999,2011435.0,R
Taking Lives,D. J. Caruso,"['Angelina Jolie', 'Ethan Hawke', 'Kiefer Sutherland', 'Olivier Martinez', 'Tchéky Karyo', 'Jean-Hugues Anglade', 'Gena Rowlands']",Angelina Jolie,2004-03-19,3.0,103.0,United States,,45000000.0,65400000.00000001,11458465.0,R
Bad Education,Pedro Almodóvar,"['Gael García Bernal', 'Fele Martinez', 'Daniel Giménez Cacho', 'Lluís Homar', 'Francisco Boira', 'Javier Cámara']",Gael García Bernal,2004-03-19,3.0,105.0,Spain,,5000000.0,40300000.0,147370.0,NC-17
Scooby-Doo 2: Monsters Unleashed,Raja Gosnell,"['Freddie Prinze Jr.', 'Sarah Michelle Gellar', 'Matthew Lillard', 'Linda Cardellini', 'Seth Green', 'Peter Boyle', 'Tim Blake Nelson', 'Alicia Silverstone']",Freddie Prinze Jr.,2004-03-20,3.0,92.0,United States,English,25000000.0,181200000.0,29438331.0,PG
The Whole Ten Yards,Howard Deutch,"['Bruce Willis', 'Matthew Perry', 'Amanda Peet', 'Kevin Pollak', 'Natasha Henstridge']",Bruce Willis,2004-04-07,4.0,98.0,United States,English,40000000.0,26200000.0,6685381.0,PG-13
New York Minute,Dennie Gordon,"['Ashley Olsen', 'Mary-Kate Olsen', 'Eugene Levy', 'Andy Richter', 'Jared Padalecki', 'Riley Smith', 'Andrea Martin', 'Bob Saget']",Ashley Olsen,2004-05-07,5.0,91.0,United States,English,30000000.0,23400000.0,5962106.0,PG
Troy,Wolfgang Petersen,"['Brad Pitt', 'Eric Bana', 'Orlando Bloom', 'Diane Kruger', 'Brian Cox', 'Sean Bean', 'Brendan Gleeson', ""Peter O'Toole""]",Brad Pitt,2004-05-13,5.0,163.0,,English,175000000.0,497400000.0,46865412.0,R
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Robbie Coltrane', 'Michael Gambon', 'Richard Griffiths', 'Gary Oldman', 'Alan Rickman', 'Fiona Shaw', 'Maggie Smith', 'Timothy Spall', 'David Thewlis', 'Emma Thompson', 'Julie Walters']",Daniel Radcliffe,2004-05-23,5.0,142.0,,English,130000000.0,796200000.0,93687367.0,PG
A Cinderella Story,Mark Rosman,"['Hilary Duff', 'Jennifer Coolidge', 'Chad Michael Murray', 'Regina King']",Hilary Duff,2004-07-16,7.0,95.0,United States,English,19000000.0,70100000.0,13623350.0,PG
Catwoman,Pitof,"['Halle Berry', 'Benjamin Bratt', 'Lambert Wilson', 'Alex Borstein', 'Frances Conroy', 'Sharon Stone']",Halle Berry,2004-07-19,7.0,104.0,United States,English,100000000.0,82100000.0,16728411.0,PG-13
Yu-Gi-Oh! The Movie: Pyramid of Light,Hatsuki Tsuji,"['English', ':', 'Dan Green', 'Eric Stuart', 'Scottie Ray', 'Wayne Grayson', 'Frank Frankson', 'Amy Birnbaum', 'Tara Jayne', 'Maddie Blaustein', 'Darren Dunstan', 'Japanese', ':', 'Shunsuke Kazama', 'Kenjiro Tsuda', 'Hidehiro Kikuchi', 'Maki Saito', 'Junko Takeuchi', 'Tadashi Miyazawa', 'Jiro J. Takasugi']",English,2004-08-13,8.0,89.0,,,20000000.0,29200000.0,9485494.0,PG
Exorcist: The Beginning,Renny Harlin,"['Stellan Skarsgård', ""James D'Arcy"", 'Izabella Scorupco']",Stellan Skarsgård,2004-08-20,8.0,114.0,United States,English,50000000.0,76800000.0,18054001.0,R
Funky Monkey,,"['Matthew Modine', 'Roma Downey']",Matthew Modine,2004-09-17,9.0,94.0,,English,30000000.0,,1839.0,R
Laura's Star,"['Piet De Rycker', 'Thilo Rothkirch']",,,2004-09-26,9.0,80.0,Germany,German,,,,
The Polar Express,Robert Zemeckis,"['Tom Hanks', 'Daryl Sabara', 'Nona Gaye', 'Jimmy Bennett', 'Eddie Deezen']",Tom Hanks,2004-10-21,10.0,100.0,United States,English,165000000.0,314100000.0,23323463.0,
Alexander,Oliver Stone,"['Colin Farrell', 'Angelina Jolie', 'Val Kilmer', 'Anthony Hopkins', 'Jared Leto', 'Rosario Dawson']",Colin Farrell,2004-11-16,11.0,175.0,,English,155000000.0,167300000.0,13687087.0,R
Ocean's Twelve,Steven Soderbergh,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Catherine Zeta-Jones', 'Andy García', 'Don Cheadle', 'Bernie Mac', 'Julia Roberts', 'Casey Affleck', 'Scott Caan', 'Vincent Cassel', 'Eddie Jemison', 'Carl Reiner', 'Elliott Gould']",George Clooney,2004-12-10,12.0,125.0,United States,English,110000000.0,362000000.0,39153380.0,PG-13
Million Dollar Baby,Clint Eastwood,"['Clint Eastwood', 'Hilary Swank', 'Morgan Freeman']",Clint Eastwood,2004-12-15,12.0,132.0,United States,English,30000000.0,216800000.0,179953.0,PG-13
The Aviator,Martin Scorsese,"['Leonardo DiCaprio', 'Cate Blanchett', 'Kate Beckinsale', 'John C. Reilly', 'Alec Baldwin', 'Alan Alda', 'Jude Law']",Leonardo DiCaprio,2004-12-14,12.0,170.0,United States,English,110000000.0,213700000.0,858021.0,PG-13
Racing Stripes,Frederik Du Chau,"['Frankie Muniz', 'David Spade', 'Steve Harvey', 'Snoop Dogg', 'Mandy Moore', 'Jeff Foxworthy', 'Joe Pantoliano', 'Dustin Hoffman', 'Whoopi Goldberg', 'Bruce Greenwood', 'Hayden Panettiere', 'M. Emmet Walsh', 'Wendie Malick', 'Michael Clarke Duncan', 'Joshua Jackson', 'Michael Rosenbaum', 'Fred Dalton Thompson']",Frankie Muniz,2005-01-08,1.0,102.0,United States,English,30000000.0,90800000.0,13920052.0,PG
The Phantom of the Opera,Joel Schumacher,"['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson', 'Miranda Richardson', 'Minnie Driver']",Gerard Butler,,,143.0,,English,70000000.0,154600000.0,4001890.0,PG-13
Constantine,Francis Lawrence,"['Keanu Reeves', 'Rachel Weisz', 'Shia LaBeouf', 'Tilda Swinton', 'Pruitt Taylor Vince', 'Djimon Hounsou', 'Gavin Rossdale', 'Peter Stormare']",Keanu Reeves,2005-02-07,2.0,121.0,United States,English,70000000.0,230900000.0,29769098.0,R
Miss Congeniality 2:  Armed and Fabulous,John Pasquin,"['Sandra Bullock', 'Regina King', 'Enrique Murciano', 'William Shatner', 'Ernie Hudson', 'Heather Burns', 'Diedrich Bader', 'Treat Williams']",Sandra Bullock,2005-03-24,3.0,115.0,United States,English,60000000.0,101300000.0,14043215.0,PG-13
House of Wax,Jaume Collet-Serra,"['Elisha Cuthbert', 'Chad Michael Murray', 'Brian Van Holt', 'Paris Hilton', 'Jared Padalecki', 'Jon Abrahams', ""Robert Ri'chard""]",Elisha Cuthbert,2005-04-30,4.0,113.0,,English,40000000.0,70100000.0,12077236.0,R
Dominion:  Prequel To The Exorcist,Paul Schrader,"['Stellan Skarsgård', 'Gabriel Mann', 'Clara Bellar', 'Billy Crawford', 'Ralph Brown']",Stellan Skarsgård,2005-03-18,3.0,116.0,United States,English,30000000.0,251495.0,140703.0,R
The Sisterhood of the Traveling Pants,Ken Kwapis,"['Amber Tamblyn', 'America Ferrera', 'Blake Lively', 'Alexis Bledel', 'Bradley Whitford', 'Nancy Travis', 'Rachel Ticotin', 'Jenna Boyd']",Amber Tamblyn,2005-06-01,6.0,119.0,United States,English,25000000.0,42000000.0,9833340.0,PG
Batman Begins,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman', 'Cillian Murphy', 'Tom Wilkinson', 'Rutger Hauer', 'Ken Watanabe', 'Morgan Freeman']",Christian Bale,2005-06-15,6.0,140.0,,English,150000000.0,373600000.0,48745440.0,PG-13
Charlie and the Chocolate Factory,Tim Burton,"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter', 'Noah Taylor', 'Missi Pyle', 'James Fox', 'Deep Roy', 'Christopher Lee']",Johnny Depp,2005-07-10,7.0,115.0,,English,150000000.0,475000000.0,56178450.0,PG
The Island,Michael Bay,"['Ewan McGregor', 'Scarlett Johansson', 'Djimon Hounsou', 'Sean Bean', 'Michael Clarke Duncan', 'Steve Buscemi']",Ewan McGregor,2005-07-22,7.0,136.0,United States,English,126000000.0,162900000.0,12409070.0,PG-13
Must Love Dogs,Gary David Goldberg,"['Diane Lane', 'John Cusack', 'Dermot Mulroney', 'Elizabeth Perkins', 'Stockard Channing', 'Christopher Plummer']",Diane Lane,2005-07-29,7.0,98.0,United States,English,30000000.0,58400000.0,12855321.0,PG-13
The Dukes of Hazzard,Jay Chandrasekhar,"['Johnny Knoxville', 'Seann William Scott', 'Jessica Simpson', 'Burt Reynolds', 'Joe Don Baker', 'Lynda Carter', 'Willie Nelson']",Johnny Knoxville,2005-08-05,8.0,104.0,United States,English,53000000.0,109800000.0,30675314.0,PG-13
A Sound of Thunder,Peter Hyams,"['Catherine McCormack', 'Edward Burns', 'Ben Kingsley']",Catherine McCormack,2005-09-02,9.0,110.0,,,80000000.0,11700000.0,917398.0,PG-13
Corpse Bride,"['Mike Johnson', 'Tim Burton']","['Johnny Depp', 'Helena Bonham Carter', 'Emily Watson', 'Albert Finney', 'Joanna Lumley', 'Christopher Lee']",Johnny Depp,2005-09-07,9.0,77.0,,English,40000000.0,118100000.0,388166.0,PG
The Little Polar Bear 2: The Mysterious Island,"['Piet De Rycker', 'Thilo Rothkirch']",,,2005-09-29,9.0,80.0,Germany,,,9612667.0,,
Duma,Carroll Ballard,"['Alexander Michaletos', 'Eamonn Walker', 'Campbell Scott', 'Hope Davis']",Alexander Michaletos,2005-04-22,4.0,100.0,,English,12000000.0,,,PG
"Good Night, and Good Luck.",George Clooney,"['David Strathairn', 'Patricia Clarkson', 'George Clooney', 'Jeff Daniels', 'Robert Downey Jr.', 'Frank Langella', 'Tate Donovan', 'Ray Wise']",David Strathairn,2005-09-01,9.0,93.0,,English,7000000.0,54600000.0,421446.0,PG
Kiss Kiss Bang Bang,Shane Black,"['Robert Downey Jr.', 'Val Kilmer', 'Michelle Monaghan', 'Corbin Bernsen']",Robert Downey Jr.,2005-05-14,5.0,103.0,United States,English,15000000.0,15800000.0,180660.0,R
North Country,Niki Caro,"['Charlize Theron', 'Frances McDormand', 'Sean Bean', 'Richard Jenkins', 'Jeremy Renner', 'Michelle Monaghan', 'Woody Harrelson', 'Sissy Spacek']",Charlize Theron,2005-09-12,9.0,126.0,United States,English,35000000.0,25200000.0,6422455.0,R
Harry Potter and the Goblet of Fire,Mike Newell,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Robbie Coltrane', 'Ralph Fiennes', 'Michael Gambon', 'Brendan Gleeson', 'Jason Isaacs', 'Gary Oldman', 'Alan Rickman', 'Maggie Smith', 'Timothy Spall']",Daniel Radcliffe,2005-11-06,11.0,157.0,,English,150000000.0,896500000.0,102685961.0,PG-13
Syriana,Stephen Gaghan,"['George Clooney', 'Matt Damon', 'Jeffrey Wright', 'Chris Cooper', 'William Hurt', 'Tim Blake Nelson', 'Amanda Peet', 'Christopher Plummer', 'Alexander Siddig', 'Mazhar Munir']",George Clooney,2005-11-20,11.0,128.0,United States,,50000000.0,94000000.0,374502.0,R
Rumor Has It,Rob Reiner,"['Jennifer Aniston', 'Kevin Costner', 'Shirley MacLaine', 'Mark Ruffalo', 'Richard Jenkins', 'Mena Suvari']",Jennifer Aniston,2005-12-25,12.0,96.0,United States,English,70000000.0,88900000.0,3473155.0,PG-13
The Thief Lord,Richard Claus,"['Aaron Johnson', 'Jasper Harris', 'Alice Connor', 'Rollo Weeks', 'George MacKay']",Aaron Johnson,2006-01-05,1.0,98.0,,English,,5141916.0,,PG
Firewall,Richard Loncraine,"['Harrison Ford', 'Paul Bettany', 'Virginia Madsen', 'Mary Lynn Rajskub', 'Robert Patrick', 'Robert Forster', 'Alan Arkin']",Harrison Ford,2006-02-10,2.0,105.0,,English,50000000.0,82800000.0,13635463.0,PG-13
Deep Sea 3D,Howard Hall,,,2006-03-03,3.0,40.0,Canada,English,1000000.0,96900000.0,19107643.0,R
16 Blocks,Richard Donner,"['Bruce Willis', 'Mos Def', 'David Morse', 'Cylk Cozart']",Bruce Willis,2006-03-03,3.0,102.0,United States,English,55000000.0,65700000.0,11855260.0,PG-13
V for Vendetta,James McTeigue,"['Natalie Portman', 'Hugo Weaving', 'Stephen Rea', 'Stephen Fry', 'John Hurt']",Natalie Portman,2005-12-11,12.0,132.0,,English,,132500000.0,25642340.0,R
Volver,Pedro Almodóvar,"['Penélope Cruz', 'Carmen Maura', 'Lola Dueñas', 'Blanca Portillo', 'Yohana Cobo', 'Chus Lampreave']",Penélope Cruz,2006-03-17,3.0,121.0,Spain,Spanish,9400000.0,87200000.0,202000.0,R
ATL,Chris Robinson,"['T.I.', 'Lauren London', 'Evan Ross', 'Jackie Long', 'Big Boi', 'Mykelti Williamson', 'Keith David', 'Jason Weaver', 'Albert Daniels', 'Tasha Smith']",T.I.,2006-03-31,3.0,105.0,United States,English,7000000.0,21200000.0,11554404.0,PG-13
Alien Autopsy,Jonny Campbell,"['Ant McPartlin', 'Declan Donnelly', 'Bill Pullman', 'Harry Dean Stanton', 'Omid Djalili', 'Jimmy Carr']",Ant McPartlin,2006-04-07,4.0,95.0,United Kingdom,English,7050000.0,,,PG-13
Poseidon,Wolfgang Petersen,"['Kurt Russell', 'Josh Lucas', 'Richard Dreyfuss', 'Emmy Rossum', 'Jacinda Barrett', 'Mike Vogel', 'Mía Maestro', 'Jimmy Bennett', 'Andre Braugher']",Kurt Russell,2006-05-06,5.0,98.0,United States,English,160000000.0,181700000.0,22155410.0,PG-13
Saving Shiloh,Sandy Tung,"['Jason Dolley', 'Jordan Garrett', 'Taylor Momsen', 'Scott Wilson', 'Ann Dowd', 'Gerald McRaney']",Jason Dolley,2006-05-12,5.0,90.0,United States,English,,,,PG
The Lake House,Alejandro Agresti,"['Keanu Reeves', 'Sandra Bullock', 'Dylan Walsh', 'Shohreh Aghdashloo', 'Christopher Plummer']",Keanu Reeves,2006-06-16,6.0,105.0,United States,English,40000000.0,115000000.0,13616196.0,PG
Death Note,Shūsuke Kaneko,"['Tatsuya Fujiwara', 'Kenichi Matsuyama', 'Shunji Fujimura', 'Takeshi Kaga', 'Asaka Seto', 'Shigeki Hosokawa', 'Erika Toda']",Tatsuya Fujiwara,2006-06-17,6.0,125.0,Japan,,,31300000.0,,
Superman Returns,Bryan Singer,"['Brandon Routh', 'Kate Bosworth', 'James Marsden', 'Frank Langella', 'Eva Marie Saint', 'Parker Posey', 'Kal Penn', 'Sam Huntington', 'Kevin Spacey']",Brandon Routh,2006-06-21,6.0,154.0,United States,English,223000000.0,391100000.0,52535096.0,PG-13
Lady in the Water,M. Night Shyamalan,"['Paul Giamatti', 'Bryce Dallas Howard', 'Bob Balaban', 'Jeffrey Wright', 'Sarita Choudhury', 'Freddy Rodriguez', 'Bill Irwin', 'Jared Harris']",Paul Giamatti,2006-07-21,7.0,109.0,United States,English,70000000.0,72800000.0,18044396.0,PG-13
The Ant Bully,John A. Davis,"['Zach Tyler Eisen', 'Julia Roberts', 'Nicolas Cage', 'Meryl Streep', 'Paul Giamatti']",Zach Tyler Eisen,2006-07-28,7.0,88.0,United States,English,50000000.0,55200000.0,8432465.0,PG
Beerfest,Jay Chandrasekhar,"['Jay Chandrasekhar', 'Kevin Heffernan', 'Steve Lemme', 'Paul Soter', 'Erik Stolhanske', 'Will Forte', 'Ralf Möller', ""Mo'Nique"", 'Eric Christian Olsen', 'Jürgen Prochnow', 'Cloris Leachman']",Jay Chandrasekhar,2006-08-25,8.0,111.0,United States,English,17500000.0,20400000.0,7031228.0,R
The Wicker Man,Neil LaBute,"['Nicolas Cage', 'Ellen Burstyn', 'Kate Beahan', 'Frances Conroy', 'Molly Parker', 'Leelee Sobieski', 'Diane Delano']",Nicolas Cage,2006-09-01,9.0,102.0,,English,40000000.0,38800000.0,,
The Departed,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg', 'Martin Sheen', 'Ray Winstone', 'Vera Farmiga', 'Alec Baldwin']",Leonardo DiCaprio,2006-09-26,9.0,151.0,United States,English,90000000.0,291500000.0,26887467.0,R
Pan's Labyrinth,Guillermo del Toro,"['Sergi López', 'Maribel Verdú', 'Ivana Baquero', 'Doug Jones', 'Ariadna Gil', 'Álex Angulo']",Sergi López,2006-05-27,5.0,119.0,,Spanish,19000000.0,83900000.0,568641.0,R
The Prestige,Christopher Nolan,"['Hugh Jackman', 'Christian Bale', 'Michael Caine', 'Scarlett Johansson', 'Rebecca Hall', 'Andy Serkis', 'David Bowie', 'Piper Perabo']",Hugh Jackman,2006-10-17,10.0,130.0,,English,40000000.0,109700000.0,14801808.0,PG-13
Flags of Our Fathers,Clint Eastwood,"['Ryan Phillippe', 'Jesse Bradford', 'Adam Beach']",Ryan Phillippe,2006-10-20,10.0,132.0,United States,English,100000000.0,65900000.00000001,10245190.0,R
Death Note 2: The Last Name,Shūsuke Kaneko,"['Tatsuya Fujiwara', 'Kenichi Matsuyama', 'Erika Toda', 'Shunji Fujimura', 'Takeshi Kaga', 'Shigeki Hosokawa']",Tatsuya Fujiwara,2006-10-16,10.0,139.0,Japan,,,,,
Goya's Ghosts,Miloš Forman,"['Javier Bardem', 'Natalie Portman', 'Stellan Skarsgård', 'Randy Quaid', 'Unax Ugalde']",Javier Bardem,2006-11-10,11.0,114.0,,,50000000.0,,159671.0,R
Happy Feet,George Miller,"['Elijah Wood', 'Robin Williams', 'Brittany Murphy', 'Hugh Jackman', 'Nicole Kidman', 'Hugo Weaving', 'Anthony LaPaglia', 'Magda Szubanski', 'Steve Irwin']",Elijah Wood,2006-11-17,11.0,108.0,,English,100000000.0,384300000.0,41533432.0,PG
The Fountain,Darren Aronofsky,"['Hugh Jackman', 'Rachel Weisz', 'Ellen Burstyn']",Hugh Jackman,2006-11-22,11.0,96.0,United States,English,35000000.0,16000000.0,3768702.0,PG-13
Unaccompanied Minors,Paul Feig,"['Lewis Black', 'Wilmer Valderrama', 'Tyler James Williams']",Lewis Black,2006-12-08,12.0,87.0,,English,25000000.0,21900000.0,5815474.0,PG
Re-Animated,Bruce Hurwit,"['Dominic Janes', 'Matt Knudsen', 'Bil Dwyer', 'Eunice Cho', 'Micah Karns', 'Rachel Quaintance', 'Rhea Lando', 'Fred Willard']",Dominic Janes,,,78.0,,,,,543728.0,
Blood Diamond,Edward Zwick,"['Leonardo DiCaprio', 'Jennifer Connelly', 'Djimon Hounsou', 'Michael Sheen', 'Arnold Vosloo']",Leonardo DiCaprio,2006-12-08,12.0,143.0,,English,100000000.0,171700000.0,8648324.0,R
The Good German,Steven Soderbergh,"['George Clooney', 'Cate Blanchett', 'Tobey Maguire']",George Clooney,2006-12-15,12.0,105.0,United States,English,32000000.0,6000000.0,76817.0,R
Letters from Iwo Jima,Clint Eastwood,"['Ken Watanabe', 'Kazunari Ninomiya', 'Tsuyoshi Ihara', 'Ryō Kase', 'Shidō Nakamura']",Ken Watanabe,2006-12-09,12.0,140.0,United States,Japanese,19000000.0,68700000.0,89097.0,R
We Are Marshall,McG,"['Matthew McConaughey', 'Matthew Fox', 'Ian McShane', 'Anthony Mackie', 'Kate Mara', 'January Jones', 'Brian Geraghty', 'David Strathairn']",Matthew McConaughey,2006-12-22,12.0,131.0,United States,English,65000000.0,43500000.0,6114264.0,PG
Music and Lyrics,Marc Lawrence,"['Hugh Grant', 'Drew Barrymore', 'Brad Garrett', 'Kristen Johnston', 'Haley Bennett', 'Campbell Scott']",Hugh Grant,2007-02-14,2.0,104.0,United States,English,40000000.0,145900000.0,13623630.0,PG-13
The Astronaut Farmer,Michael Polish,"['Billy Bob Thornton', 'Virginia Madsen', 'Bruce Dern', 'Tim Blake Nelson']",Billy Bob Thornton,2006-10-15,10.0,104.0,United States,English,13000000.0,11100000.0,4454319.0,PG
Zodiac,David Fincher,"['Jake Gyllenhaal', 'Mark Ruffalo', 'Robert Downey Jr.', 'Anthony Edwards', 'Brian Cox', 'Elias Koteas', 'Donal Logue', 'John Carroll Lynch', 'Dermot Mulroney', 'Chloë Sevigny']",Jake Gyllenhaal,2007-02-28,2.0,157.0,United States,English,65000000.0,84700000.0,13395610.0,R
300,Zack Snyder,"['Gerard Butler', 'Lena Headey', 'David Wenham', 'Dominic West']",Gerard Butler,2006-12-09,12.0,116.0,United States,English,60000000.0,456100000.0,70885301.0,R
TMNT,Kevin Munroe,"['Chris Evans', 'Sarah Michelle Gellar', 'Mako', 'Kevin Smith', 'Patrick Stewart', 'Ziyi Zhang', 'James Arnold Taylor', 'Nolan North', 'Mikey Kelley', 'Mitchell Whitfield']",Chris Evans,2007-03-17,3.0,87.0,,English,34000000.0,95600000.0,24255205.0,PG
The Reaping,Stephen Hopkins,"['Hilary Swank', 'David Morrissey', 'Idris Elba', 'AnnaSophia Robb', 'Stephen Rea']",Hilary Swank,2007-04-05,4.0,99.0,United States,English,40000000.0,62800000.0,10025203.0,R
Aqua Teen Hunger Force Colon Movie Film for Theaters,"['Matt Maiellaro', 'Dave Willis']","['Dana Snyder', 'Dave Willis', 'Carey Means', 'Andy Merrill', 'Mike Schatz', 'Matt Maiellaro', 'C. Martin Croker', 'Neil Peart', 'H. Jon Benjamin']",Dana Snyder,2007-04-10,4.0,85.0,United States,English,,5500000.0,3088000.0,R
In the Land of Women,Jon Kasdan,"['Adam Brody', 'Kristen Stewart', 'Meg Ryan', 'Olympia Dukakis', 'Makenzie Vega']",Adam Brody,2007-04-20,4.0,98.0,United States,English,10000000.0,17600000.0,4712341.0,PG-13
Lucky You,Curtis Hanson,"['Eric Bana', 'Drew Barrymore', 'Robert Duvall', 'Debra Messing']",Eric Bana,2007-04-05,4.0,124.0,United States,English,55000000.0,8400000.0,2710445.0,PG-13
Ocean's Thirteen,Steven Soderbergh,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Andy García', 'Don Cheadle', 'Bernie Mac', 'Ellen Barkin', 'Al Pacino', 'Casey Affleck', 'Scott Caan', 'Eddie Jemison', 'Shaobo Qin', 'Carl Reiner', 'Elliott Gould']",George Clooney,2007-05-24,5.0,122.0,United States,English,85000000.0,311700000.0,36133403.0,PG-13
Nancy Drew,Andrew Fleming,"['Emma Roberts', 'Josh Flitter', 'Max Thieriot', 'Rachael Leigh Cook', 'Tate Donovan']",Emma Roberts,2007-06-15,6.0,99.0,United States,English,20000000.0,30700000.0,6832318.0,PG
License to Wed,Ken Kwapis,"['Robin Williams', 'Mandy Moore', 'John Krasinski', 'Christine Taylor', 'Eric Christian Olsen', 'Josh Flitter']",Robin Williams,2007-07-03,7.0,91.0,United States,English,35000000.0,70200000.0,10422258.0,PG-13
Harry Potter and the Order of the Phoenix,David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Ralph Fiennes', 'Michael Gambon', 'Brendan Gleeson', 'Richard Griffiths', 'Jason Isaacs', 'Gary Oldman', 'Alan Rickman', 'Fiona Shaw', 'Maggie Smith', 'Imelda Staunton', 'David Thewlis', 'Emma Thompson', 'Julie Walters']",Daniel Radcliffe,2007-06-28,6.0,138.0,,English,150000000.0,942200000.0,77108414.0,PG-13
No Reservations,Scott Hicks,"['Catherine Zeta-Jones', 'Aaron Eckhart', 'Abigail Breslin', 'Patricia Clarkson']",Catherine Zeta-Jones,2007-07-27,7.0,104.0,United States,English,28000000.0,92600000.0,11704357.0,PG
The Invasion,Oliver Hirschbiegel,"['Nicole Kidman', 'Daniel Craig', 'Jeremy Northam', 'Jeffrey Wright']",Nicole Kidman,2007-08-17,8.0,99.0,United States,,65000000.0,40200000.0,5951409.0,PG-13
The Orphanage,J. A. Bayona,"['Belén Rueda', 'Fernando Cayo', 'Roger Príncep', 'Mabel Rivera', 'Montserrat Carulla', 'Andrés Gertrúdix', 'Edgar Vivar', 'Geraldine Chaplin']",Belén Rueda,2007-05-20,5.0,97.0,Spain,Spanish,4000000.0,78600000.0,233323.0,R
The Brave One,Neil Jordan,"['Jodie Foster', 'Terrence Howard', 'Naveen Andrews', 'Nicky Katt', 'Mary Steenburgen']",Jodie Foster,2007-09-14,9.0,122.0,,English,70000000.0,69000000.0,13471488.0,R
In the Valley of Elah,Paul Haggis,"['Tommy Lee Jones', 'Charlize Theron', 'Frances Fisher', 'Susan Sarandon']",Tommy Lee Jones,2007-09-14,9.0,121.0,United States,English,23000000.0,29500000.0,133557.0,R
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,"['Brad Pitt', 'Casey Affleck', 'Sam Shepard', 'Mary-Louise Parker', 'Paul Schneider', 'Jeremy Renner', 'Zooey Deschanel', 'Sam Rockwell']",Brad Pitt,2007-09-02,9.0,160.0,United States,English,30000000.0,15000000.0,147812.0,R
Michael Clayton,Tony Gilroy,"['George Clooney', 'Tom Wilkinson', 'Tilda Swinton', 'Sydney Pollack']",George Clooney,2007-08-31,8.0,120.0,United States,English,21500000.0,93000000.0,719910.0,R
Return to House on Haunted Hill,Víctor García,"['Amanda Righetti', 'Cerina Vincent', 'Erik Palladino', 'Tom Riley', 'Andrew Lee Potts', 'Jeffrey Combs']",Amanda Righetti,2007-10-16,10.0,79.0,United States,English,,,,
Rails & Ties,Alison Eastwood,"['Kevin Bacon', 'Marcia Gay Harden', 'Miles Heizer', 'Eugene Byrd', 'Brian Bogulski', 'Bonnie Root']",Kevin Bacon,2007-10-26,10.0,101.0,United States,English,,,11059.0,PG-13
Fred Claus,David Dobkin,"['Vince Vaughn', 'Paul Giamatti', 'Miranda Richardson', 'John Michael Higgins', 'Elizabeth Banks', 'Rachel Weisz', 'Kathy Bates', 'Kevin Spacey']",Vince Vaughn,2007-11-09,11.0,116.0,"United States
United Kingdom",English,100000000.0,97800000.0,18515473.0,PG
Beowulf,Robert Zemeckis,"['Ray Winstone', 'Anthony Hopkins', 'John Malkovich', 'Robin Wright', 'Brendan Gleeson', 'Crispin Glover', 'Alison Lohman', 'Angelina Jolie']",Ray Winstone,2007-11-05,11.0,114.0,,English,150000000.0,196400000.0,27515871.0,PG-13
August Rush,Kirsten Sheridan,"['Freddie Highmore', 'Keri Russell', 'Jonathan Rhys Meyers', 'Terrence Howard', ""Alex O'Loughlin"", 'Robin Williams', 'William Sadler']",Freddie Highmore,2007-11-21,11.0,114.0,United States,English,25000000.0,65300000.0,9421369.0,PG
Ben 10: Race Against Time,Alex Winter,"['Graham Phillips', 'Christien Anholt', 'Haley Ramm', 'Beth Littleford', 'Don McManus', 'Sab Shimono', 'Aloma Wright', 'Robert Picardo', 'Lee Majors']",Graham Phillips,2007-11-21,11.0,67.0,,English,,,454800.0,
